entity_type,id,name,category,resistance,lambda_learning,weight_in_qhe,frequency,target_streak,description,created_at,archived,state,hardwork_budget_hours,max_pomodoros_per_day,sleep_target_hours,qhe_target,break_minutes,allowed_phases,date,bedtime,wake_time,quality_score,deep_sleep_pct,rem_sleep_pct,interruptions,notes,source,duration_hours,label,start,end,period,routine_id,energia_nivel,foco_nivel,duration_minutes,overlaps_period,has_routine_link,block_id,routine_type,text,humor,is_entry_routine,is_exit_routine,entry_text,periods_covered,routines_completed,desvios,ajustes_finos,rotinas_logs,licoes_aprendidas,pomodoros_completos,humor_morning,humor_evening,updated_at,round_number,started_at,completed_at,paused_duration_seconds,actual_duration_minutes,is_focus_round,is_break_round,tipo_dia,hardwork_orcado_min,hardwork_realizado_min,pomodoros_meta,pomodoros_realizados,tem_curso,tem_deadline,observacoes,desvio_min,produtividade_pct,parar_de_fazer,repetir,sempre_fazer,big_win,deu_certo,deu_errado,maior_aprendizado,ajustes_para_amanha,estado_geral,eat_min,rest_min,pesado,notas,duracao_total,within_budget,codigo,ritual,duracao_min,completed,severity,rationale,setpoints,days_in_state,previous_state,qhe_input,energy_input,infraction_count,applied,applied_at,minutos,reason,block_id_before,block_id_after
transicao,trn_t2_2026_05_14,,,,,,,,,2026-05-14T09:00:00+00:00,,,,,,,,,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_125_2026_05_14,,,,,,,,,2026-05-14T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_25a002e7c8bd"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.713067""}",0,,0.78,H,0,true,2026-05-14T20:30:00+00:00,,,,
sleep_record,sle_2026_05_15,,,,,,,,,2026-05-15T04:03:00+00:00,,,,,,,,,2026-05-15,20:21:00,04:03:00,8,29.698818346027338,22.512589408942826,1,Sono normal.,MANUAL,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_124_00_2026_05_15,,,,,,,,,2026-05-15T04:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-15T04:30:00+00:00,2026-05-15T08:00:00+00:00,MANHA,,,,210,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_124_00_2026_05_15,,,,,,,,,2026-05-15T22:00:00+00:00,,,,,,,,,2026-05-15,,,,,,,,,,,,,MANHA,rou_syn_124_2026_05_15,8,7,,,,,ENTRY,Rotina automatica (off=24),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_124_00_2026_05_15,,,,,,,,,2026-05-15T20:00:00+00:00,,,,,,,,,2026-05-15,,,,,,,,,,,,,,,7,6,,,,,,,,,,Dia off=24. Tipo curso. Energia 7/10. Foco 6/10. 8/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],8,3,3,2026-06-08T20:53:51.713140+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_124_00_2026_05_15,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-15T04:00:00+00:00,2026-05-15T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_15,,,,,,,,,2026-05-15T04:00:00+00:00,,,,,,,,,2026-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,209,8,8,true,false,Synthetic off=24,-31,87.08333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_15,,,,,,,,,2026-05-15T22:00:00+00:00,,,,,,,,,2026-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 8/8 pomodoros""]",[],Aprendizado do dia off=24.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_15,,,,,,,,,2026-05-15T12:05:00+00:00,,,,,,,,,2026-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_15,,,,,,,,,2026-05-15T08:00:00+00:00,,,,,,,,,2026-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_15,,,,,,,,,2026-05-15T09:00:00+00:00,,,,,,,,,2026-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_124_2026_05_15,,,,,,,,,2026-05-15T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_31316f23c6a9"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.713193""}",0,,0.78,H,0,true,2026-05-15T20:30:00+00:00,,,,
sleep_record,sle_2026_05_16,,,,,,,,,2026-05-16T05:01:00+00:00,,,,,,,,,2026-05-16,20:31:00,05:01:00,8,18.956033879171155,23.162560801590033,0,Sono normal.,MANUAL,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_123_00_2026_05_16,,,,,,,,,2026-05-16T05:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-16T05:30:00+00:00,2026-05-16T08:00:00+00:00,MANHA,,,,150,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_123_00_2026_05_16,,,,,,,,,2026-05-16T22:00:00+00:00,,,,,,,,,2026-05-16,,,,,,,,,,,,,MANHA,rou_syn_123_2026_05_16,9,7,,,,,ENTRY,Rotina automatica (off=23),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_123_00_2026_05_16,,,,,,,,,2026-05-16T20:00:00+00:00,,,,,,,,,2026-05-16,,,,,,,,,,,,,,,8,6,,,,,,,,,,Dia off=23. Tipo curso. Energia 8/10. Foco 6/10. 7/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],7,5,4,2026-06-08T20:53:51.713263+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_123_00_2026_05_16,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-16T04:00:00+00:00,2026-05-16T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_16,,,,,,,,,2026-05-16T04:00:00+00:00,,,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,275,8,7,true,false,Synthetic off=23,35,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_16,,,,,,,,,2026-05-16T22:00:00+00:00,,,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 7/8 pomodoros""]",[],Aprendizado do dia off=23.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_16,,,,,,,,,2026-05-16T12:05:00+00:00,,,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_16,,,,,,,,,2026-05-16T08:00:00+00:00,,,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_16,,,,,,,,,2026-05-16T09:00:00+00:00,,,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_123_2026_05_16,,,,,,,,,2026-05-16T20:30:00+00:00,,PUSH,,,,,,,2026-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia produtivo - Q1.,"{""id"": ""set_8da977de5919"", ""state"": ""PUSH"", ""hardwork_budget_hours"": 8.0, ""max_pomodoros_per_day"": 10, ""sleep_target_hours"": 7.0, ""qhe_target"": 0.85, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""PUSH regime: maximum focus. 8h hard work, 10 pomodoros, sleep 7h, Q_HE target 0.85."", ""created_at"": ""2026-06-08 17:53:51.713319""}",0,,0.92,H,0,true,2026-05-16T20:30:00+00:00,,,,
time_block,blk_demo_122_00_2026_05_17,,,,,,,,,2026-05-17T07:00:00+00:00,,,,,,,,,,,,,,,,,,,Leitura,2026-05-17T07:00:00+00:00,2026-05-17T08:00:00+00:00,MANHA,,,,60,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_122_00_2026_05_17,,,,,,,,,2026-05-17T22:00:00+00:00,,,,,,,,,2026-05-17,,,,,,,,,,,,,MANHA,rou_syn_122_2026_05_17,6,6,,,,,ENTRY,Rotina automatica (off=22),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_122_00_2026_05_17,,,,,,,,,2026-05-17T20:00:00+00:00,,,,,,,,,2026-05-17,,,,,,,,,,,,,,,5,5,,,,,,,,,,Dia off=22. Tipo descanso. Energia 5/10. Foco 5/10. 1/2 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],1,4,4,2026-06-08T20:53:51.713371+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_122_00_2026_05_17,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-17T04:00:00+00:00,2026-05-17T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_17,,,,,,,,,2026-05-17T04:00:00+00:00,,,,,,,,,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descanso,60,30,2,1,false,false,Synthetic off=22,-30,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_17,,,,,,,,,2026-05-17T22:00:00+00:00,,,,,,,,,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 1/2 pomodoros""]",[],Esqueci de registrar o sono.,[],regular,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_17,,,,,,,,,2026-05-17T12:05:00+00:00,,,,,,,,,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_17,,,,,,,,,2026-05-17T08:00:00+00:00,,,,,,,,,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_17,,,,,,,,,2026-05-17T09:00:00+00:00,,,,,,,,,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_122_2026_05_17,,,,,,,,,2026-05-17T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia normal.,"{""id"": ""set_08cf1286afcb"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.713425""}",0,,0.78,M,0,true,2026-05-17T20:30:00+00:00,,,,
sleep_record,sle_2026_05_18,,,,,,,,,2026-05-18T05:25:00+00:00,,,,,,,,,2026-05-18,20:11:00,05:25:00,8,27.954921383142516,21.140058673594087,2,Sono normal.,MANUAL,9.233333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_121_00_2026_05_18,,,,,,,,,2026-05-18T05:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-18T05:30:00+00:00,2026-05-18T08:00:00+00:00,MANHA,,,,150,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_121_00_2026_05_18,,,,,,,,,2026-05-18T22:00:00+00:00,,,,,,,,,2026-05-18,,,,,,,,,,,,,MANHA,rou_syn_121_2026_05_18,7,9,,,,,ENTRY,Rotina automatica (off=21),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_121_00_2026_05_18,,,,,,,,,2026-05-18T20:00:00+00:00,,,,,,,,,2026-05-18,,,,,,,,,,,,,,,6,8,,,,,,,,,,Dia off=21. Tipo curso. Energia 6/10. Foco 8/10. 8/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],"[""Desvio leve de horario.""]",[],[],[],8,3,4,2026-06-08T20:53:51.713499+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_121_00_2026_05_18,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-18T04:00:00+00:00,2026-05-18T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_18,,,,,,,,,2026-05-18T04:00:00+00:00,,,,,,,,,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,207,8,8,true,false,Synthetic off=21,-33,86.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_18,,,,,,,,,2026-05-18T22:00:00+00:00,,,,,,,,,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 8/8 pomodoros""]",[],Aprendizado do dia off=21.,[],regular,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_18,,,,,,,,,2026-05-18T12:05:00+00:00,,,,,,,,,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_18,,,,,,,,,2026-05-18T08:00:00+00:00,,,,,,,,,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_18,,,,,,,,,2026-05-18T09:00:00+00:00,,,,,,,,,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_121_2026_05_18,,,,,,,,,2026-05-18T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_4624d03881f2"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.713557""}",0,,0.78,M,1,true,2026-05-18T20:30:00+00:00,,,,
sleep_record,sle_2026_05_19,,,,,,,,,2026-05-19T05:00:00+00:00,,,,,,,,,2026-05-19,21:00:00,05:00:00,9,30.0,22.0,0,Sono bom. Dia de descanso total.,MANUAL,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_120_00_2026_05_19,,,,,,,,,2026-05-19T07:00:00+00:00,,,,,,,,,,,,,,,,,,,Leitura,2026-05-19T07:00:00+00:00,2026-05-19T08:00:00+00:00,MANHA,,,,60,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_120_00_2026_05_19,,,,,,,,,2026-05-19T22:00:00+00:00,,,,,,,,,2026-05-19,,,,,,,,,,,,,MANHA,rou_syn_120_2026_05_19,9,8,,,,,ENTRY,Rotina automatica (off=20),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_120_00_2026_05_19,,,,,,,,,2026-05-19T20:00:00+00:00,,,,,,,,,2026-05-19,,,,,,,,,,,,,,,8,7,,,,,,,,,,Dia off=20. Tipo descanso. Energia 8/10. Foco 7/10. 0/0 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],0,4,4,2026-06-08T20:53:51.713614+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_19,,,,,,,,,2026-05-19T04:00:00+00:00,,,,,,,,,2026-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,descanso,0,0,0,0,false,false,Synthetic off=20,0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_19,,,,,,,,,2026-05-19T22:00:00+00:00,,,,,,,,,2026-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 0/0 pomodoros""]",[],Descanso total - necessario.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_19,,,,,,,,,2026-05-19T12:05:00+00:00,,,,,,,,,2026-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_19,,,,,,,,,2026-05-19T08:00:00+00:00,,,,,,,,,2026-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_19,,,,,,,,,2026-05-19T09:00:00+00:00,,,,,,,,,2026-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_120_2026_05_19,,,,,,,,,2026-05-19T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia normal.,"{""id"": ""set_c04ed509fbb9"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.713660""}",0,,0.78,H,0,true,2026-05-19T20:30:00+00:00,,,,
sleep_record,sle_2026_05_20,,,,,,,,,2026-05-20T06:21:00+00:00,,,,,,,,,2026-05-20,20:49:00,06:21:00,6,20.225616230757897,19.69292145512879,0,Sono normal.,MANUAL,9.533333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_119_00_2026_05_20,,,,,,,,,2026-05-20T06:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-20T06:30:00+00:00,2026-05-20T08:00:00+00:00,MANHA,,,,90,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_119_00_2026_05_20,,,,,,,,,2026-05-20T22:00:00+00:00,,,,,,,,,2026-05-20,,,,,,,,,,,,,MANHA,rou_syn_119_2026_05_20,10,9,,,,,ENTRY,Rotina automatica (off=19),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_119_00_2026_05_20,,,,,,,,,2026-05-20T20:00:00+00:00,,,,,,,,,2026-05-20,,,,,,,,,,,,,,,9,8,,,,,,,,,,Dia off=19. Tipo curso. Energia 9/10. Foco 8/10. 5/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],"[""Desvio leve de horario.""]",[],[],[],5,5,5,2026-06-08T20:53:51.713727+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_119_00_2026_05_20,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-20T04:00:00+00:00,2026-05-20T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_20,,,,,,,,,2026-05-20T04:00:00+00:00,,,,,,,,,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,224,8,5,true,false,Synthetic off=19,-16,93.33333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_20,,,,,,,,,2026-05-20T22:00:00+00:00,,,,,,,,,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 5/8 pomodoros""]",[],Aprendizado do dia off=19.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_20,,,,,,,,,2026-05-20T12:05:00+00:00,,,,,,,,,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_20,,,,,,,,,2026-05-20T08:00:00+00:00,,,,,,,,,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_20,,,,,,,,,2026-05-20T09:00:00+00:00,,,,,,,,,2026-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
